year,est,lwr,upr,log_est,se,se_natural,type,index,index_id,common_name
2003,37073.43108,30318.54556,45333.28582,10.52065585,0.102624834,30350.47394,index,Coastwide,1,arrowtooth flounder
2004,37373.14401,30188.63484,46267.47453,10.52870765,0.108923863,30254.72863,index,Coastwide,1,arrowtooth flounder
2005,43362.00719,35885.3632,52396.39508,10.67733893,0.096560012,35709.345909999996,index,Coastwide,1,arrowtooth flounder
2006,32309.67108,26505.15914,39385.3453,10.38312188,0.101036143,26337.16445,index,Coastwide,1,arrowtooth flounder
2007,35588.03248,29712.94922,42624.78445,10.47976469,0.09205601,29455.64076,index,Coastwide,1,arrowtooth flounder
2008,39847.33488,33457.64676,47457.31546,10.5928108,0.089172639,32893.01904,index,Coastwide,1,arrowtooth flounder
2009,45712.20951,38551.87291,54202.45348,10.73012071,0.086920345,38061.99386,index,Coastwide,1,arrowtooth flounder
2010,55352.67167,46118.2663,66436.11104,10.92148021,0.093122029,46036.99987,index,Coastwide,1,arrowtooth flounder
2011,58484.42298,49080.58492,69690.03603,10.97651572,0.089438841,48105.14934,index,Coastwide,1,arrowtooth flounder
2012,54712.39109,45515.78012,65767.20714,10.90984549,0.093895159,44838.72788,index,Coastwide,1,arrowtooth flounder
2013,75748.80185,58144.28334,98683.49306,11.23517791,0.13494894,60907.71684,index,Coastwide,1,arrowtooth flounder
2014,56405.70604,47907.31082,66411.6524,10.9403256,0.083318982,46696.80496,index,Coastwide,1,arrowtooth flounder
2015,44101.85453,37616.74235,51704.9976,10.69425711,0.081150781,36299.65187,index,Coastwide,1,arrowtooth flounder
2016,47307.61435,39748.9665,56303.61172,10.76442654,0.088821745,38741.97759,index,Coastwide,1,arrowtooth flounder
2017,47993.70818,40188.33861,57315.03477,10.7788252,0.090559344,39558.62306,index,Coastwide,1,arrowtooth flounder
2018,34250.17448,28447.04404,41237.12996,10.44144694,0.094719804,27962.72302,index,Coastwide,1,arrowtooth flounder
2019,35787.00772,27551.01062,46485.04329,10.48534019,0.133444134,28501.76423,index,Coastwide,1,arrowtooth flounder
2021,31212.57811,25681.11666,37935.46228,10.34857644,0.099524888,25671.68853,index,Coastwide,1,arrowtooth flounder
2022,52658.6016,41602.56685,66652.81814,10.87158488,0.120240847,42731.37438,index,Coastwide,1,arrowtooth flounder
2023,68652.27277,56660.12698,83182.56256,11.13680952,0.097952567,56634.12631,index,Coastwide,1,arrowtooth flounder
2024,62609.32768,52139.4354,75181.63331,11.04466955,0.093365334,51607.58566,index,Coastwide,1,arrowtooth flounder
2003,5830.24747440751,4043.19559949861,8407.15834204271,8.67081472688402,0.186750410471202,5132.40355848485,index,Coastwide,2,aurora rockfish
2004,6665.47363439665,4508.05121402303,9855.37578469266,8.80469629301319,0.199532267075109,5858.0204488658,index,Coastwide,2,aurora rockfish
2005,6713.99100580058,4893.75864848438,9211.25835250007,8.81194883792046,0.161346286679938,5935.77557866499,index,Coastwide,2,aurora rockfish
2006,7305.04930550272,5223.0219378326,10217.0249313504,8.89632107371749,0.171171331565437,6466.73307730667,index,Coastwide,2,aurora rockfish
2007,7085.24674497651,5177.61054611688,9695.73145567119,8.86576997790883,0.160039182396901,6278.91621516784,index,Coastwide,2,aurora rockfish
2008,5824.85829526795,4466.46178305763,7596.38743325929,8.66988995114537,0.135481124390934,5191.50462458415,index,Coastwide,2,aurora rockfish
2009,6137.40431691243,4449.79150593242,8465.05542990879,8.72215718206882,0.164056412843249,5400.43721394436,index,Coastwide,2,aurora rockfish
2010,4341.21614138572,3258.87012403501,5783.03426308176,8.37590980475018,0.146315942765372,3845.76366228542,index,Coastwide,2,aurora rockfish
